iter	Passed	Remaining
399	58533	234133
400	58669	233946
401	58819	233813
402	58944	233583
403	59098	233469
404	59244	233320
405	59399	233210
406	59544	233058
407	59685	232891
408	59832	232748
409	59981	232611
410	60096	232343
411	60217	232101
412	60357	231930
413	60490	231733
414	60637	231589
415	60770	231393
416	60909	231224
417	61050	231057
418	61198	230917
419	61331	230722
420	61476	230572
421	61609	230378
422	61741	230179
423	61882	230015
424	62026	229863
425	62171	229712
426	62294	229483
427	62425	229281
428	62547	229050
429	62680	228855
430	62815	228671
431	62954	228500
432	63091	228325
433	63237	228180
434	63379	228021
435	63537	227918
436	63679	227758
437	63815	227580
438	63954	227409
439	64098	227257
440	64235	227083
441	64353	226839
442	64490	226661
443	64624	226477
444	64751	226267
445	64891	226101
446	65025	225916
447	65153	225710
448	65277	225492
449	65416	225322
450	65551	225141
451	65687	224963
452	65818	224770
453	65932	224519
454	66076	224369
455	66209	224183
456	66351	224027
457	66487	223851
458	66627	223687
459	66770	223535
460	66945	223490
461	67080	223312
462	67217	223137
463	67351	222955
464	67769	223711
465	67923	223593
466	68050	223384
467	68193	223233
468	68341	223094
469	68598	223309
470	68741	223155
471	68878	222978
472	69025	222836
473	69138	222584
474	69264	222375
475	69405	222212
476	69551	222070
477	69684	221883
478	69816	221691
479	69951	221513
480	70077	221306
481	70202	221093
482	70345	220939
483	70481	220764
484	70612	220573
485	70753	220412
486	70868	220172
487	71000	219986
488	71148	219847
489	71298	219716
490	71443	219568
491	71578	219390
492	71706	219190
493	71827	218971
494	71954	218770
495	72077	218557
496	72216	218394
497	72365	218258
498	72503	218090
499	72637	217913
500	72785	217775
501	72935	217643
502	73052	217414
503	73183	217226
504	73314	217041
505	73464	216910
506	73592	216712
507	73739	216572
508	73879	216411
509	74016	216242
510	74137	216028
511	74276	215865
512	74431	215748
513	74570	215587
514	74708	215421
515	74838	215234
516	74970	215049
517	75107	214882
518	75228	214668
519	75361	214490
520	75498	214321
521	75640	214170
522	75772	213987
523	75912	213829
524	76033	213617
525	76166	213440
526	76308	213286
527	76444	213118
528	76598	212997
529	76718	212785
530	76867	212653
531	76983	212428
532	77125	212275
533	77264	212114
534	77409	211970
535	77549	211813
536	77699	211683
537	77854	211566
538	78004	211435
539	78142	211275
540	78296	211155
541	78453	211041
542	78571	210825
543	78705	210654
544	78837	210473
545	78991	210355
546	79114	210151
547	79258	210005
548	79382	209807
549	79523	209653
550	79648	209457
551	79780	209278
552	79914	209108
553	80045	208927
554	80182	208762
555	80309	208574
556	80445	208407
557	80561	208190
558	80684	207988
559	80812	207804
560	80946	207631
561	81086	207478
562	81233	207339
563	81383	207211
564	81534	207082
565	81670	206918
566	81816	206778
567	81950	206607
568	82085	206439
569	82231	206300
570	82374	206153
571	82519	206010
572	82662	205863
573	82801	205704
574	82924	205508
575	83069	205367
576	83206	205203
577	83341	205036
578	83488	204899
579	83622	204730
580	83761	204574
581	83896	204406
582	84027	204231
583	84164	204070
584	84284	203866
585	84424	203713
586	84555	203537
587	84688	203367
588	84822	203200
589	84956	203032
590	85090	202862
591	85233	202717
592	85384	202589
593	85513	202410
594	85667	202291
595	85793	202105
596	85917	201913
597	86066	201781
598	86194	201599
599	86320	201413
600	86462	201265
601	86615	201144
602	86758	200998
603	86906	200863
604	87065	200754
605	87206	200603
606	87354	200468
607	87481	200285
608	87654	200209
609	87815	200103
610	87953	199947
611	88093	199792
612	88218	199605
613	88339	199410
614	88478	199257
615	88614	199095
616	88740	198911
617	88874	198744
618	88998	198556
619	89132	198391
620	89281	198259
621	89420	198105
622	89552	197934
623	89668	197731
624	89796	197551
625	89914	197352
626	90047	197185
627	90175	197007
628	90305	196834
629	90456	196706
630	90586	196534
631	90707	196342
632	90842	196179
633	90977	196017
634	91095	195820
635	91228	195653
