iter	PRAUC	Logloss
225	0.94935048	0.3197740802
226	0.9494968522	0.3192765084
227	0.9496760899	0.3188588858
228	0.9498073048	0.3184685163
229	0.9499045487	0.3182391475
230	0.9501184732	0.3175526374
231	0.9502560565	0.3172246421
232	0.9503820392	0.3168502168
233	0.9505038709	0.3164848393
234	0.9506053948	0.3162213401
235	0.9506968019	0.3159240037
236	0.9508088201	0.3155964318
237	0.951000834	0.3150179506
238	0.951087534	0.3147373914
239	0.9511969101	0.3144444465
240	0.951283037	0.31421218
241	0.9514290146	0.3137984661
242	0.9515892126	0.3133471366
243	0.9516912454	0.3130934738
244	0.9518719143	0.3125681315
245	0.9519980394	0.3121743753
246	0.9521678894	0.3117020503
247	0.9523315912	0.3113054599
248	0.9525106907	0.3108184126
249	0.9526217014	0.3105187689
250	0.9527298939	0.3102300184
251	0.952883695	0.3098614496
252	0.9529971168	0.3094756171
253	0.9531069573	0.3090949497
254	0.9531989765	0.3088334429
255	0.9533835095	0.3084206404
256	0.9534728902	0.3081426849
257	0.953603593	0.3078334138
258	0.9537408064	0.3074721568
259	0.9538471375	0.3070953988
260	0.9540622539	0.3064785313
261	0.9542858924	0.3059648308
262	0.9543580725	0.3057568854
263	0.9544849739	0.3054300601
264	0.9545831957	0.3051551907
265	0.9547614189	0.304666001
266	0.9549235177	0.3042040849
267	0.9550206309	0.3038904862
268	0.9550637112	0.3036952583
269	0.9552353745	0.303176234
270	0.9553600885	0.3028473796
271	0.9555259734	0.3024146885
272	0.9558242355	0.3015381814
273	0.9560395733	0.3008908268
274	0.956265777	0.3002574256
275	0.9563350902	0.3000328867
276	0.9564771432	0.2996590347
277	0.956654617	0.2990976414
278	0.9567779152	0.2988100026
279	0.9569484298	0.2983394968
280	0.9570401793	0.298038636
281	0.9571164814	0.2978000043
282	0.9572669526	0.2974078996
283	0.9573637646	0.2971672903
284	0.9575229091	0.2966588541
285	0.9576402036	0.2963286954
286	0.957744602	0.2959917632
287	0.9579056202	0.2955123464
288	0.9580283956	0.2951294661
289	0.9581856792	0.2946365898
290	0.9582820015	0.294370878
291	0.9585353727	0.293520952
292	0.9586352197	0.2932267387
293	0.9587727028	0.2927014675
294	0.9588718774	0.2923820426
295	0.958978997	0.2921180257
296	0.9590423683	0.2918876792
297	0.9591578871	0.2915808858
298	0.9593755566	0.2909147994
299	0.9594903843	0.2905786754
300	0.9596068756	0.2902583857
301	0.959806699	0.2896947413
